epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.0533,0.95891,0.79167,1.08185,0.96721,0.96709,0.98559,0.76304,0.83184,0.48799,1.00045,0.00037154,0.00037154,0.00037154
2,102.338,1.00066,0.79058,1.10655,0.94884,0.95229,0.98403,0.74537,0.83694,0.49908,1.01208,0.00071988,0.00071988,0.00071988
3,147.252,1.02748,0.80994,1.12449,0.94303,0.95198,0.97864,0.72263,0.88866,0.53775,1.02704,0.00103002,0.00103002,0.00103002
4,194.919,1.03852,0.81266,1.12003,0.91609,0.97366,0.98017,0.72858,0.91904,0.52762,1.04841,0.00121679,0.00121679,0.00121679
5,246.639,1.02966,0.79955,1.12142,0.94039,0.96035,0.97762,0.72558,0.87775,0.52705,1.04116,0.00114606,0.00114606,0.00114606
6,296.87,1.0086,0.77989,1.12384,0.93863,0.95705,0.97825,0.7243,0.94024,0.54426,1.0435,0.00107532,0.00107532,0.00107532
7,341.224,0.99838,0.78002,1.10085,0.94571,0.95406,0.9825,0.7436,0.87749,0.52066,1.01665,0.00100459,0.00100459,0.00100459
8,383.945,1.02283,0.76511,1.11845,0.92746,0.96469,0.97451,0.72512,0.88235,0.51648,1.02594,0.000933851,0.000933851,0.000933851
9,427.16,0.98516,0.73099,1.09411,0.94298,0.9613,0.97768,0.7295,0.90327,0.50128,1.03744,0.000863116,0.000863116,0.000863116
10,471.585,0.9597,0.72788,1.09658,0.95682,0.95254,0.98432,0.74927,0.84897,0.4901,1.01713,0.00079238,0.00079238,0.00079238
11,519.616,0.88435,0.55608,1.05605,0.97089,0.93387,0.9863,0.75737,0.85153,0.49068,1.01327,0.000721645,0.000721645,0.000721645
12,567.148,0.88081,0.55176,1.04917,0.94156,0.98347,0.98331,0.75966,0.80861,0.48729,1.00559,0.000650909,0.000650909,0.000650909
13,616.258,0.86804,0.5338,1.04991,0.94811,0.98006,0.98411,0.75577,0.80818,0.46809,0.99826,0.000580174,0.000580174,0.000580174
14,662.129,0.8406,0.50999,1.02898,0.95046,0.98271,0.98776,0.76601,0.79986,0.45509,0.99437,0.000509438,0.000509438,0.000509438
15,706.343,0.8299,0.48434,1.00636,0.95182,0.99318,0.98874,0.77659,0.78924,0.45527,0.98031,0.000438703,0.000438703,0.000438703
16,753.454,0.82249,0.49805,1.00757,0.97983,0.96632,0.9912,0.78078,0.76013,0.44446,0.98364,0.000367967,0.000367967,0.000367967
17,802.12,0.77912,0.4782,0.99875,0.98282,0.96847,0.99215,0.7919,0.73698,0.42894,0.97162,0.000297232,0.000297232,0.000297232
18,853.899,0.79143,0.47642,1.00681,0.9777,0.97512,0.99197,0.7916,0.74245,0.42591,0.97452,0.000226497,0.000226497,0.000226497
19,904.531,0.78439,0.46911,1.00809,0.98202,0.97961,0.99237,0.79902,0.73716,0.42602,0.96983,0.000155761,0.000155761,0.000155761
20,951.68,0.76852,0.45753,0.99438,0.978,0.98507,0.99212,0.80171,0.71881,0.42045,0.96651,8.50255e-05,8.50255e-05,8.50255e-05
