epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.241,1.30699,1.43328,1.31903,0.93659,0.96721,0.98016,0.7392,0.84833,0.60053,1.03798,0.00037154,0.00037154,0.00037154
2,355.73,1.24304,1.16078,1.28346,0.93007,0.95702,0.97564,0.70856,0.95879,0.57821,1.08968,0.00071988,0.00071988,0.00071988
3,571.066,1.21591,1.11937,1.26834,0.95703,0.89617,0.96777,0.70102,0.94058,0.60066,1.0685,0.00103002,0.00103002,0.00103002
4,738.764,1.23172,1.10025,1.2743,0.9354,0.90586,0.96439,0.69151,0.97901,0.61563,1.08756,0.00121679,0.00121679,0.00121679
5,980.498,1.24603,1.09527,1.276,0.88957,0.78387,0.80345,0.59712,0.91972,0.59029,1.08418,0.00114606,0.00114606,0.00114606
6,1252.51,1.21569,1.09328,1.26869,0.94367,0.84824,0.89544,0.65527,0.92975,0.59729,1.07335,0.00107532,0.00107532,0.00107532
7,1581,1.21906,1.05216,1.26958,0.93576,0.86226,0.90442,0.65432,0.94193,0.5922,1.08075,0.00100459,0.00100459,0.00100459
8,1950.88,1.22555,1.05199,1.27016,0.91249,0.81155,0.8498,0.62589,0.93426,0.57725,1.07134,0.000933851,0.000933851,0.000933851
9,2184.41,1.19443,1.03717,1.24904,0.96575,0.82967,0.91123,0.66356,0.9556,0.55585,1.09153,0.000863116,0.000863116,0.000863116
10,2497.92,1.20526,0.99832,1.25882,0.93901,0.93679,0.97328,0.71935,0.91389,0.5422,1.06357,0.00079238,0.00079238,0.00079238
11,2703.55,0.9594,0.68872,1.09721,0.94767,0.91851,0.97157,0.71323,0.91533,0.55835,1.0675,0.000721645,0.000721645,0.000721645
12,3007.89,0.93028,0.59841,1.08795,0.94773,0.83616,0.88133,0.65501,0.89577,0.5221,1.05494,0.000650909,0.000650909,0.000650909
13,3188.03,0.91765,0.58748,1.06983,0.93587,0.96075,0.97251,0.72094,0.89405,0.51558,1.03918,0.000580174,0.000580174,0.000580174
14,3500.69,0.8976,0.54691,1.06443,0.93763,0.96554,0.97457,0.73274,0.85526,0.49701,1.04245,0.000509438,0.000509438,0.000509438
15,3866.45,0.88841,0.53581,1.05479,0.95271,0.97366,0.9789,0.74808,0.81974,0.48467,1.01962,0.000438703,0.000438703,0.000438703
16,4197.55,0.86595,0.5368,1.065,0.9627,0.96847,0.98697,0.75437,0.84391,0.47607,1.01784,0.000367967,0.000367967,0.000367967
17,4395.86,0.85026,0.52994,1.04423,0.95407,0.96965,0.98741,0.76065,0.82028,0.46933,1.00999,0.000297232,0.000297232,0.000297232
18,4521.86,0.84049,0.51065,1.01967,0.95675,0.96905,0.98628,0.76994,0.79347,0.45403,0.99405,0.000226497,0.000226497,0.000226497
19,4993.67,0.83433,0.50337,1.02673,0.96903,0.9656,0.98526,0.76577,0.79,0.45281,0.99511,0.000155761,0.000155761,0.000155761
20,5571.16,0.82365,0.49387,1.03208,0.96618,0.96847,0.98626,0.77759,0.78073,0.45025,0.99258,8.50255e-05,8.50255e-05,8.50255e-05
