epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.082,0.88447,0.54156,1.04951,0.95113,0.97863,0.98788,0.75499,0.83548,0.48928,1.01382,0.00037154,0.00037154,0.00037154
2,119.469,0.88876,0.53745,1.04382,0.9666,0.9402,0.98402,0.74276,0.82604,0.48697,1.0078,0.00071988,0.00071988,0.00071988
3,185.482,0.91045,0.5609,1.05826,0.9715,0.91549,0.9798,0.71833,0.87875,0.51802,1.03517,0.00103002,0.00103002,0.00103002
4,242.957,0.94375,0.58843,1.0665,0.92536,0.95939,0.98016,0.713,0.93854,0.54887,1.05186,0.00121679,0.00121679,0.00121679
5,301.175,0.93605,0.58766,1.08844,0.91768,0.96611,0.9795,0.72942,0.87006,0.52722,1.03061,0.00114606,0.00114606,0.00114606
6,370.471,0.91104,0.57049,1.06881,0.93492,0.93862,0.98048,0.73496,0.89033,0.54711,1.03901,0.00107532,0.00107532,0.00107532
7,425.59,0.91808,0.57655,1.07466,0.94151,0.96075,0.98478,0.74709,0.84978,0.49663,1.02679,0.00100459,0.00100459,0.00100459
8,491.345,0.8902,0.55988,1.04876,0.95981,0.98356,0.9904,0.74622,0.84275,0.49554,1.01878,0.000933851,0.000933851,0.000933851
9,558.351,0.89411,0.53901,1.06054,0.95864,0.95411,0.98667,0.75503,0.83843,0.4899,1.01645,0.000863116,0.000863116,0.000863116
10,626.02,0.87114,0.52925,1.04732,0.94072,0.97695,0.98789,0.76544,0.79861,0.47161,1.0018,0.00079238,0.00079238,0.00079238
11,697.405,0.84405,0.51713,1.03011,0.96211,0.9869,0.99019,0.77037,0.79905,0.47136,1.00043,0.000721645,0.000721645,0.000721645
12,768.894,0.83545,0.53177,1.03393,0.97346,0.98185,0.99141,0.7692,0.78471,0.46101,0.98923,0.000650909,0.000650909,0.000650909
13,881.913,0.8361,0.49612,1.0214,0.98197,0.97695,0.9918,0.78494,0.77118,0.44819,0.9843,0.000580174,0.000580174,0.000580174
14,970.227,0.83408,0.48845,1.02555,0.99177,0.98557,0.99354,0.78881,0.77281,0.4402,0.98428,0.000509438,0.000509438,0.000509438
15,1040.51,0.8098,0.47009,1.00847,0.98643,0.98892,0.99398,0.80757,0.72242,0.42498,0.96228,0.000438703,0.000438703,0.000438703
16,1122.36,0.78296,0.47237,1.00196,0.98436,0.98896,0.99365,0.8005,0.74324,0.42723,0.97856,0.000367967,0.000367967,0.000367967
17,1210.54,0.75334,0.45077,0.9968,0.9843,0.98507,0.99343,0.80797,0.71563,0.4158,0.96354,0.000297232,0.000297232,0.000297232
18,1300.58,0.76231,0.45432,1.00319,0.97931,0.9969,0.99385,0.8171,0.69511,0.40878,0.96134,0.000226497,0.000226497,0.000226497
19,1380.36,0.73629,0.44905,0.98563,0.98448,0.9976,0.9943,0.81399,0.69954,0.40633,0.96347,0.000155761,0.000155761,0.000155761
20,1462.02,0.73881,0.43908,0.98432,0.98277,1,0.99446,0.81774,0.6865,0.40179,0.95336,8.50255e-05,8.50255e-05,8.50255e-05
