epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1561,0.95891,0.79167,1.08185,0.96723,0.96709,0.98559,0.76314,0.83084,0.48731,0.99989,0.00037154,0.00037154,0.00037154
2,65.2308,1.00061,0.79064,1.10652,0.94819,0.95243,0.98409,0.7451,0.83729,0.49959,1.01204,0.00071988,0.00071988,0.00071988
3,98.5455,1.02715,0.80967,1.12402,0.94291,0.95188,0.97832,0.72332,0.88941,0.53684,1.02699,0.00103002,0.00103002,0.00103002
4,132.091,1.03757,0.81008,1.11939,0.91806,0.97366,0.98039,0.73189,0.91826,0.5266,1.04869,0.00121679,0.00121679,0.00121679
5,171.89,1.03023,0.79679,1.12209,0.94262,0.95334,0.97501,0.72229,0.87545,0.52877,1.03953,0.00114606,0.00114606,0.00114606
6,210.338,1.00978,0.77855,1.1245,0.92327,0.96109,0.97605,0.72246,0.94567,0.54113,1.04507,0.00107532,0.00107532,0.00107532
7,241.235,1.00003,0.78221,1.10357,0.95367,0.94707,0.98035,0.74579,0.87545,0.51661,1.01663,0.00100459,0.00100459,0.00100459
8,273.793,1.02267,0.76313,1.12121,0.94487,0.97452,0.97535,0.7314,0.88343,0.51825,1.0263,0.000933851,0.000933851,0.000933851
9,307.016,0.98398,0.7328,1.09412,0.93881,0.97217,0.97619,0.7282,0.8878,0.50465,1.03078,0.000863116,0.000863116,0.000863116
10,339.948,0.96,0.73046,1.09626,0.96071,0.95924,0.98265,0.7489,0.84382,0.49355,1.01746,0.00079238,0.00079238,0.00079238
11,369.876,0.8838,0.5549,1.0561,0.96041,0.93655,0.98259,0.75585,0.84291,0.4839,1.00877,0.000721645,0.000721645,0.000721645
12,402.331,0.87517,0.55406,1.04855,0.95151,0.98331,0.98498,0.76444,0.80853,0.48116,1.00495,0.000650909,0.000650909,0.000650909
13,433.875,0.86647,0.53231,1.05178,0.9591,0.97964,0.98702,0.75863,0.81029,0.47502,0.99818,0.000580174,0.000580174,0.000580174
14,465.883,0.83961,0.51152,1.03033,0.95624,0.98088,0.98801,0.75788,0.80085,0.46249,0.9961,0.000509438,0.000509438,0.000509438
15,496.073,0.82613,0.48486,1.00444,0.9816,0.96551,0.99034,0.77796,0.78876,0.44722,0.9794,0.000438703,0.000438703,0.000438703
16,529.114,0.82505,0.49723,1.0063,0.97833,0.97437,0.99099,0.78099,0.76262,0.44462,0.97988,0.000367967,0.000367967,0.000367967
17,559.615,0.77767,0.47747,0.99724,0.96855,0.97622,0.99114,0.7908,0.73621,0.43533,0.96832,0.000297232,0.000297232,0.000297232
18,588.372,0.78945,0.47658,1.00443,0.97735,0.97785,0.99196,0.78786,0.73972,0.42801,0.96961,0.000226497,0.000226497,0.000226497
19,617.331,0.78532,0.46903,1.0064,0.97887,0.99005,0.99294,0.7981,0.73928,0.42282,0.96896,0.000155761,0.000155761,0.000155761
20,647.972,0.7675,0.45725,0.99439,0.97885,0.98858,0.99273,0.80018,0.71945,0.41598,0.96565,8.50255e-05,8.50255e-05,8.50255e-05
