epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1576,0.95891,0.79167,1.08185,0.96721,0.96709,0.98559,0.76316,0.83088,0.48729,0.99998,0.00037154,0.00037154,0.00037154
2,85.2808,1.00268,0.79337,1.10782,0.94438,0.95524,0.9833,0.74777,0.83966,0.50198,1.01391,0.000752754,0.000752754,0.000752754
3,203.955,1.03175,0.81626,1.12833,0.93711,0.9453,0.97791,0.71872,0.89388,0.54396,1.03149,0.0011155,0.0011155,0.0011155
4,246.851,1.04376,0.82226,1.12465,0.92894,0.90735,0.91627,0.67848,0.93308,0.53795,1.05551,0.0013519,0.0013519,0.0013519
5,416.205,1.04427,0.81585,1.13088,0.9473,0.86311,0.9057,0.6657,0.89599,0.53283,1.05057,0.00129391,0.00129391,0.00129391
6,451.398,1.02003,0.79341,1.13159,0.92307,0.96371,0.97884,0.71983,0.95691,0.5424,1.04838,0.00122182,0.00122182,0.00122182
7,650.233,1.00485,0.79168,1.1035,0.94574,0.95159,0.98218,0.74285,0.87549,0.52012,1.0162,0.00113742,0.00113742,0.00113742
8,686.874,1.02673,0.76796,1.12333,0.95258,0.88939,0.91534,0.68338,0.90619,0.5247,1.03412,0.00104278,0.00104278,0.00104278
9,720.798,0.9949,0.74256,1.09964,0.94425,0.96519,0.97615,0.74038,0.88617,0.50489,1.03493,0.00094023,0.00094023,0.00094023
10,753.323,0.96837,0.73071,1.10181,0.94573,0.96567,0.98142,0.74288,0.86453,0.49916,1.0242,0.0008323,0.0008323,0.0008323
11,788.868,0.894,0.55765,1.05926,0.95956,0.94013,0.98327,0.74958,0.85848,0.49944,1.01623,0.000721645,0.000721645,0.000721645
12,822.687,0.88227,0.54955,1.05576,0.94569,0.96778,0.98395,0.75247,0.8231,0.48256,1.00911,0.00061099,0.00061099,0.00061099
13,854.043,0.86999,0.53402,1.05032,0.95499,0.97331,0.98761,0.7597,0.81838,0.47467,1.01132,0.00050306,0.00050306,0.00050306
14,885.343,0.83849,0.50462,1.0298,0.95788,0.9795,0.98977,0.76918,0.79264,0.45469,0.99539,0.000400513,0.000400513,0.000400513
15,919.65,0.81296,0.47904,1.00413,0.95823,0.98006,0.98919,0.78059,0.76917,0.44789,0.9793,0.000305872,0.000305872,0.000305872
16,951.138,0.81072,0.48824,1.00486,0.96495,0.97391,0.99076,0.78275,0.76445,0.43997,0.98193,0.000221469,0.000221469,0.000221469
17,984.132,0.77939,0.47607,1.0017,0.96741,0.98045,0.99066,0.79136,0.74637,0.4286,0.97249,0.000149383,0.000149383,0.000149383
18,1015.19,0.79045,0.47174,1.00036,0.96367,0.98243,0.99101,0.7899,0.73479,0.4248,0.97034,9.13871e-05,9.13871e-05,9.13871e-05
19,1046.36,0.78906,0.46749,1.00923,0.96778,0.98333,0.99096,0.78878,0.73445,0.42276,0.9702,4.89104e-05,4.89104e-05,4.89104e-05
20,1089.24,0.7666,0.45861,0.99637,0.96758,0.98356,0.99101,0.79155,0.7317,0.42027,0.96908,2.29987e-05,2.29987e-05,2.29987e-05
