epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.153,2.24258,3.84435,1.9572,0.01733,0.60869,0.10117,0.04994,1.62963,3.0605,1.41988,0.00037154,0.00037154,0.00037154
2,209.511,1.59225,2.70341,1.41269,0.50824,0.27294,0.28139,0.16367,1.45007,2.0357,1.30154,0.000742374,0.000742374,0.000742374
3,318.947,1.41443,2.09852,1.29693,0.67805,0.3563,0.3536,0.21001,1.30153,1.68044,1.24859,0.00109793,0.00109793,0.00109793
4,448.976,1.37843,1.80684,1.28115,0.70171,0.30523,0.29988,0.17786,1.34294,1.48065,1.286,0.00134412,0.00134412,0.00134412
5,598.666,1.32092,1.56196,1.28366,0.69187,0.26496,0.26476,0.1671,1.18478,1.2852,1.24227,0.00131582,0.00131582,0.00131582
6,750.393,1.24013,1.42073,1.25599,0.8278,0.26625,0.27532,0.18169,1.11206,1.07765,1.20005,0.00128753,0.00128753,0.00128753
7,900.533,1.21816,1.3172,1.22006,0.78573,0.31165,0.33149,0.22591,1.08614,1.04611,1.17621,0.00125923,0.00125923,0.00125923
8,1067.83,1.19412,1.22076,1.20716,0.87693,0.33193,0.35462,0.22773,1.09662,0.94192,1.19839,0.00123094,0.00123094,0.00123094
9,1239.62,1.19478,1.18573,1.22387,0.89924,0.58992,0.62304,0.3996,1.13991,0.8659,1.22137,0.00120265,0.00120265,0.00120265
10,1406.65,1.16773,1.11359,1.21593,0.91425,0.85277,0.9123,0.62418,1.0539,0.82888,1.14439,0.00117435,0.00117435,0.00117435
11,1626.01,1.15868,1.05489,1.21425,0.93498,0.7254,0.77162,0.52989,1.02511,0.78009,1.13752,0.00114606,0.00114606,0.00114606
12,1825.28,1.13977,1.05506,1.20426,0.92134,0.87911,0.93188,0.63373,1.05272,0.7487,1.15286,0.00111776,0.00111776,0.00111776
13,2010.86,1.11594,1.0379,1.18544,0.94502,0.87895,0.93457,0.65072,1.01689,0.72668,1.12669,0.00108947,0.00108947,0.00108947
14,2193.75,1.11897,1.00089,1.18816,0.96188,0.87425,0.9339,0.65314,1.00176,0.69844,1.12222,0.00106118,0.00106118,0.00106118
15,2387.85,1.10633,0.97922,1.18619,0.95889,0.89164,0.94448,0.66321,1.00271,0.70622,1.11906,0.00103288,0.00103288,0.00103288
16,2585.64,1.09671,0.9376,1.18373,0.93678,0.89752,0.94169,0.66445,0.98472,0.66453,1.13778,0.00100459,0.00100459,0.00100459
17,2751.26,1.08785,0.93292,1.18204,0.95964,0.89611,0.95084,0.66927,0.98487,0.66473,1.11842,0.000976293,0.000976293,0.000976293
18,2934.86,1.0821,0.88399,1.17569,0.95256,0.8963,0.9634,0.68331,0.95524,0.62889,1.12046,0.000947999,0.000947999,0.000947999
19,3143.46,1.08246,0.89158,1.16463,0.95102,0.89164,0.95417,0.67382,0.98167,0.63349,1.09551,0.000919704,0.000919704,0.000919704
20,3344.18,1.05733,0.88296,1.15962,0.96543,0.89432,0.96527,0.69306,0.93104,0.61341,1.08199,0.00089141,0.00089141,0.00089141
21,3524.84,1.03386,0.84525,1.1561,0.93715,0.9025,0.96196,0.69747,0.92748,0.63635,1.08239,0.000863116,0.000863116,0.000863116
22,3716.14,1.04582,0.82092,1.16256,0.93782,0.89889,0.96124,0.70885,0.90488,0.58212,1.0731,0.000834822,0.000834822,0.000834822
23,3929.34,1.05174,0.83549,1.15627,0.97564,0.90368,0.97257,0.70421,0.93363,0.57345,1.0887,0.000806528,0.000806528,0.000806528
24,4115.05,1.01232,0.8125,1.13517,0.97148,0.92092,0.97289,0.71278,0.91904,0.5683,1.07072,0.000778233,0.000778233,0.000778233
25,4339.6,1.01672,0.79573,1.13246,0.96284,0.91452,0.97312,0.7155,0.88861,0.543,1.07988,0.000749939,0.000749939,0.000749939
26,4504.05,0.98176,0.77746,1.11896,0.97617,0.90625,0.9707,0.71895,0.89905,0.55505,1.06426,0.000721645,0.000721645,0.000721645
27,4696.67,1.01444,0.78373,1.13331,0.96992,0.917,0.97346,0.71861,0.89034,0.53269,1.06265,0.000693351,0.000693351,0.000693351
28,4931.5,0.9908,0.73722,1.12991,0.97831,0.91979,0.97283,0.73211,0.86301,0.52507,1.06608,0.000665057,0.000665057,0.000665057
29,5172.86,0.98201,0.75961,1.13792,0.97006,0.93387,0.97568,0.74214,0.85525,0.52471,1.0541,0.000636762,0.000636762,0.000636762
30,5429,0.98497,0.73747,1.13483,0.94717,0.9389,0.97894,0.74439,0.84322,0.51223,1.044,0.000608468,0.000608468,0.000608468
31,5671.22,0.95384,0.73028,1.10665,0.97195,0.92953,0.97893,0.75233,0.82571,0.50237,1.03272,0.000580174,0.000580174,0.000580174
32,8664.36,0.95635,0.71637,1.11399,0.944,0.94916,0.97948,0.74608,0.83366,0.48581,1.03748,0.00055188,0.00055188,0.00055188
33,9178.99,0.95089,0.6954,1.10261,0.96544,0.93666,0.98216,0.74866,0.83064,0.495,1.03572,0.000523586,0.000523586,0.000523586
34,9378.99,0.93744,0.71845,1.09795,0.96658,0.9588,0.98466,0.75871,0.80994,0.47528,1.02197,0.000495291,0.000495291,0.000495291
35,9614.68,0.9483,0.6968,1.10984,0.96484,0.94306,0.98399,0.75779,0.81348,0.47132,1.02296,0.000466997,0.000466997,0.000466997
36,9810.68,0.92648,0.70946,1.09648,0.97035,0.95243,0.98415,0.76746,0.79662,0.46513,1.01887,0.000438703,0.000438703,0.000438703
37,10028.7,0.92995,0.67526,1.09648,0.94404,0.98368,0.98725,0.77014,0.79145,0.47035,1.01479,0.000410409,0.000410409,0.000410409
38,10362.2,0.93005,0.67863,1.09258,0.96127,0.97777,0.98859,0.76721,0.7926,0.46844,1.01123,0.000382115,0.000382115,0.000382115
39,10668.1,0.92612,0.67473,1.09499,0.94945,0.98718,0.98694,0.76107,0.79932,0.46678,1.00669,0.00035382,0.00035382,0.00035382
40,10956.4,0.93252,0.69613,1.09577,0.97479,0.95911,0.9883,0.7727,0.78352,0.45802,1.00177,0.000325526,0.000325526,0.000325526
41,11464.3,0.83384,0.55177,1.04729,0.94989,0.97373,0.98661,0.77143,0.78306,0.47227,1.01018,0.000297232,0.000297232,0.000297232
42,11774.7,0.82611,0.5368,1.04378,0.95551,0.95994,0.98733,0.77372,0.76861,0.46701,1.01026,0.000268938,0.000268938,0.000268938
43,12013.5,0.8137,0.50302,1.03453,0.951,0.98507,0.9885,0.77022,0.76936,0.45672,1.00449,0.000240644,0.000240644,0.000240644
44,12315.7,0.83192,0.50707,1.04917,0.96151,0.98915,0.99064,0.77839,0.76121,0.44463,1.00332,0.000212349,0.000212349,0.000212349
45,12579.6,0.79738,0.48854,1.03393,0.95546,0.99055,0.98973,0.78175,0.74653,0.43722,0.99497,0.000184055,0.000184055,0.000184055
46,12910,0.79813,0.4824,1.01758,0.95858,0.99254,0.98954,0.78923,0.73134,0.42932,0.9902,0.000155761,0.000155761,0.000155761
47,13217.7,0.78815,0.49104,1.02371,0.96219,0.99502,0.9905,0.79593,0.71958,0.42208,0.98188,0.000127467,0.000127467,0.000127467
48,13736.1,0.77034,0.47538,1.0176,0.95929,0.99013,0.99028,0.79423,0.72028,0.42143,0.98247,9.91726e-05,9.91726e-05,9.91726e-05
49,14948.1,0.77402,0.46398,1.01199,0.95624,0.98654,0.98907,0.79221,0.71883,0.41955,0.98451,7.08784e-05,7.08784e-05,7.08784e-05
50,15811.8,0.78265,0.47382,1.01414,0.96045,0.98855,0.9896,0.79284,0.72174,0.41798,0.98743,4.25842e-05,4.25842e-05,4.25842e-05
