epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.0685,2.19266,3.77612,1.84415,0.06342,0.43472,0.09906,0.04817,1.72534,3.03108,1.4556,0.00037154,0.00037154,0.00037154
2,111.038,1.69222,2.74277,1.46883,0.60354,0.36764,0.34851,0.19084,1.55268,2.19667,1.36667,0.000732377,0.000732377,0.000732377
1,50.6191,2.19266,3.77612,1.84415,0.07055,0.41422,0.10471,0.05124,1.74234,3.02259,1.46454,0.00037154,0.00037154,0.00037154
2,113.543,1.69127,2.76381,1.44597,0.58734,0.39311,0.38375,0.21208,1.53915,2.11268,1.36581,0.000732377,0.000732377,0.000732377
3,185.241,1.49601,2.28191,1.32701,0.682,0.42915,0.42226,0.22562,1.49131,1.82208,1.33479,0.00106775,0.00106775,0.00106775
4,254.803,1.46847,1.97135,1.33563,0.67906,0.41802,0.46814,0.27726,1.35778,1.61701,1.28485,0.00128753,0.00128753,0.00128753
5,328.191,1.38813,1.8212,1.30452,0.70062,0.36152,0.36567,0.22572,1.24488,1.4601,1.21769,0.00124037,0.00124037,0.00124037
6,403.811,1.38014,1.65456,1.28614,0.66934,0.3188,0.31373,0.19688,1.22966,1.30078,1.21136,0.00119322,0.00119322,0.00119322
7,486.355,1.3058,1.44598,1.25096,0.73178,0.32578,0.34726,0.2231,1.17756,1.12886,1.18499,0.00114606,0.00114606,0.00114606
8,571.271,1.29918,1.42919,1.24714,0.72054,0.28114,0.2871,0.19422,1.17506,1.04574,1.17791,0.0010989,0.0010989,0.0010989
9,662.691,1.25449,1.32372,1.23453,0.74964,0.34611,0.36974,0.23756,1.12672,0.93832,1.15624,0.00105174,0.00105174,0.00105174
10,773.774,1.24404,1.25574,1.21164,0.72727,0.41457,0.42092,0.27283,1.13825,0.92642,1.16854,0.00100459,0.00100459,0.00100459
11,877.732,1.19631,1.20648,1.19474,0.88201,0.57027,0.61416,0.41718,1.09341,0.90371,1.13825,0.00095743,0.00095743,0.00095743
12,962.753,1.19294,1.16507,1.22179,0.85021,0.76412,0.80829,0.54525,1.08154,0.90656,1.16382,0.000910273,0.000910273,0.000910273
13,1076.41,1.16515,1.12646,1.18477,0.88777,0.59013,0.64549,0.44518,1.06237,0.79939,1.1084,0.000863116,0.000863116,0.000863116
14,1197.83,1.17768,1.14244,1.18482,0.86341,0.63094,0.66948,0.45557,1.04105,0.78804,1.10905,0.000815959,0.000815959,0.000815959
15,1287.21,1.1676,1.09317,1.18182,0.9192,0.84164,0.9124,0.63669,1.04896,0.77435,1.11682,0.000768802,0.000768802,0.000768802
16,1446.22,1.12831,1.0326,1.16484,0.92661,0.79554,0.86282,0.59571,1.03218,0.74975,1.11522,0.000721645,0.000721645,0.000721645
17,1652.37,1.14439,1.02153,1.17554,0.89575,0.75228,0.80785,0.56217,1.04065,0.76234,1.10175,0.000674488,0.000674488,0.000674488
18,1799.57,1.12877,1.00683,1.16858,0.88952,0.72619,0.76321,0.53269,1.01959,0.7083,1.10283,0.000627331,0.000627331,0.000627331
19,1916.46,1.13108,1.01931,1.16209,0.92704,0.79091,0.8316,0.58375,1.0114,0.72249,1.09167,0.000580174,0.000580174,0.000580174
20,2008.93,1.125,0.99646,1.14289,0.91119,0.85245,0.92248,0.6514,0.99443,0.71737,1.10794,0.000533017,0.000533017,0.000533017
21,2182.22,1.04769,0.86355,1.15527,0.88749,0.88967,0.93383,0.66071,0.98692,0.75336,1.08008,0.00048586,0.00048586,0.00048586
22,2423.1,1.02069,0.79622,1.13582,0.88606,0.88818,0.91808,0.65357,0.96477,0.68281,1.0621,0.000438703,0.000438703,0.000438703
23,2645.53,1.0176,0.777,1.10518,0.92693,0.85328,0.91792,0.65473,0.96784,0.67519,1.08089,0.000391546,0.000391546,0.000391546
24,2851.74,0.99126,0.75802,1.11253,0.94628,0.87441,0.94215,0.68267,0.95347,0.66051,1.06445,0.000344389,0.000344389,0.000344389
25,3070.52,1.0006,0.7405,1.09772,0.93577,0.82383,0.88131,0.63044,0.93493,0.64778,1.05559,0.000297232,0.000297232,0.000297232
26,3260.45,0.96707,0.71028,1.09302,0.9419,0.88485,0.94659,0.67797,0.94101,0.63065,1.06484,0.000250075,0.000250075,0.000250075
27,3568.58,0.98255,0.71179,1.09447,0.93354,0.89205,0.94678,0.68644,0.92702,0.62415,1.05109,0.000202918,0.000202918,0.000202918
28,3991.93,0.97592,0.69595,1.08208,0.93629,0.89421,0.94791,0.68632,0.91993,0.61865,1.04396,0.000155761,0.000155761,0.000155761
29,4439.72,0.9594,0.69508,1.07767,0.94185,0.88684,0.94888,0.69189,0.91897,0.61371,1.04421,0.000108604,0.000108604,0.000108604
30,4794.39,0.95635,0.68274,1.08367,0.92379,0.9005,0.94633,0.68939,0.91559,0.6094,1.0428,6.1447e-05,6.1447e-05,6.1447e-05
