epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.3332,0.95891,0.79167,1.08185,0.96721,0.96709,0.98559,0.76316,0.83088,0.48729,0.99998,0.00037154,0.00037154,0.00037154
2,63.4009,1.0006,0.79064,1.10651,0.94817,0.95244,0.98409,0.7462,0.83729,0.49953,1.01203,0.00071988,0.00071988,0.00071988
3,94.0806,1.02712,0.80957,1.12398,0.94126,0.94783,0.97842,0.72102,0.88734,0.53734,1.02641,0.00103002,0.00103002,0.00103002
4,126.639,1.03667,0.80977,1.11899,0.9218,0.97366,0.98109,0.73096,0.91861,0.52525,1.04862,0.00121679,0.00121679,0.00121679
5,161.962,1.03041,0.79856,1.12224,0.94381,0.95922,0.97787,0.72659,0.87836,0.52832,1.0402,0.00114606,0.00114606,0.00114606
6,195.234,1.00926,0.77931,1.12404,0.93726,0.96074,0.98134,0.72215,0.95871,0.54861,1.04928,0.00107532,0.00107532,0.00107532
7,227.059,0.99875,0.78036,1.10153,0.95066,0.9468,0.98161,0.7484,0.87899,0.51242,1.01757,0.00100459,0.00100459,0.00100459
8,258.285,1.02149,0.76574,1.11902,0.94151,0.9629,0.97293,0.72713,0.88538,0.52503,1.02866,0.000933851,0.000933851,0.000933851
9,294.801,0.98627,0.73798,1.09524,0.96062,0.93536,0.97539,0.73129,0.89328,0.50703,1.03169,0.000863116,0.000863116,0.000863116
10,325.245,0.96161,0.72802,1.09684,0.9553,0.95886,0.98236,0.75352,0.83936,0.48959,1.01607,0.00079238,0.00079238,0.00079238
11,356.101,0.88475,0.5569,1.0562,0.96664,0.93546,0.98406,0.75772,0.84626,0.4887,1.00989,0.000721645,0.000721645,0.000721645
12,386.418,0.87763,0.55231,1.04701,0.96143,0.97566,0.9843,0.75972,0.81374,0.47839,1.00431,0.000650909,0.000650909,0.000650909
13,417.316,0.87363,0.53089,1.04997,0.9536,0.98042,0.98589,0.75867,0.81525,0.47234,0.99891,0.000580174,0.000580174,0.000580174
14,446.183,0.84397,0.51119,1.03113,0.95657,0.98665,0.991,0.77686,0.79242,0.45556,0.99001,0.000509438,0.000509438,0.000509438
15,475.108,0.8262,0.4827,1.00722,0.96603,0.97664,0.9901,0.77808,0.77971,0.45149,0.97605,0.000438703,0.000438703,0.000438703
16,504.318,0.82586,0.49659,1.00794,0.97736,0.98632,0.99313,0.77737,0.77255,0.44742,0.98262,0.000367967,0.000367967,0.000367967
17,535.531,0.78094,0.48017,0.99937,0.97285,0.98361,0.99234,0.79131,0.74202,0.4313,0.96958,0.000297232,0.000297232,0.000297232
18,564.533,0.79062,0.47826,1.00504,0.97029,0.98507,0.9921,0.78981,0.73854,0.42878,0.9702,0.000226497,0.000226497,0.000226497
19,593.694,0.78157,0.46713,1.00415,0.97043,0.99371,0.99279,0.79674,0.7344,0.42295,0.96697,0.000155761,0.000155761,0.000155761
20,622.371,0.76779,0.45615,0.99496,0.97385,0.99261,0.99301,0.80212,0.71912,0.41732,0.96556,8.50255e-05,8.50255e-05,8.50255e-05
